Raw,Filtered
-0.494308,-0.247154
-0.421767,-0.334460
0.043104,-0.145678
-0.849804,-0.497741
-0.351035,-0.424388
-0.962542,-0.693465
-0.065123,-0.379294
-0.696415,-0.537855
0.605330,0.033738
-0.610853,-0.288558
0.025197,-0.131680
-0.656275,-0.393978
0.732522,0.169272
-0.813373,-0.322050
-0.612720,-0.467385
-0.405686,-0.436535
-0.263967,-0.350251
0.748756,0.199252
0.540683,0.369967
-0.643798,-0.136915
0.765985,0.314535
0.124175,0.219355
0.475211,0.347283
0.551895,0.449589
-0.165470,0.142060
0.711272,0.426666
0.695100,0.560883
-0.707787,-0.073452
-0.752637,-0.413044
0.308109,-0.052468
-0.745627,-0.399048
-0.246945,-0.322996
0.886342,0.281673
0.297477,0.289575
-0.096748,0.096413
-0.464693,-0.184140
0.334935,0.075398
0.838128,0.456763
-0.161108,0.147827
-0.059735,0.044046
-0.772724,-0.364339
0.864089,0.249875
0.283990,0.266932
0.959798,0.613365
-0.949284,-0.167959
0.671270,0.251655
-0.445889,-0.097117
-0.213251,-0.155184
0.420026,0.132421
-0.905206,-0.386392
0.142951,-0.121721
0.186010,0.032145
0.218969,0.125557
-0.381837,-0.128140
-0.262095,-0.195117
-0.946500,-0.570809
-0.670565,-0.620687
-0.566994,-0.593841
-0.654287,-0.624064
-0.423202,-0.523633
0.741115,0.108741
-0.399915,-0.145587
0.329853,0.092133
0.627457,0.359795
0.897562,0.628679
-0.766895,-0.069108
-0.837236,-0.453172
0.232497,-0.110337
-0.928767,-0.519552
0.001656,-0.258948
-0.827238,-0.543093
-0.701491,-0.622292
-0.134255,-0.378274
0.456752,0.039239
-0.741694,-0.351227
-0.083539,-0.217383
0.128022,-0.044681
-0.187582,-0.116131
0.703211,0.293540
-0.451952,-0.079206
-0.092788,-0.085997
-0.153838,-0.119918
0.734058,0.307070
-0.873819,-0.283374
0.464324,0.090475
-0.528036,-0.218781
-0.820319,-0.519550
0.793759,0.137105
-0.095031,0.021037
-0.474606,-0.226785
-0.629443,-0.428114
-0.353916,-0.391015
0.125479,-0.132768
0.700410,0.283821
-0.726459,-0.221319
0.023041,-0.099139
0.933514,0.417188
-0.563694,-0.073253
-0.744462,-0.408858
-0.995252,-0.702055
0.437962,-0.132047
-0.571700,-0.351873
-0.696744,-0.524308
-0.696293,-0.610301
0.885052,0.137376
-0.438437,-0.150531
0.220168,0.034819
0.013074,0.023946
0.373980,0.198963
-0.076621,0.061171
0.561122,0.311146
-0.718808,-0.203831
0.769541,0.282855
0.295180,0.289018
-0.592627,-0.151805
0.233865,0.041030
0.767144,0.404087
-0.412946,-0.004429
0.027624,0.011597
-0.327887,-0.158145
0.112448,-0.022849
0.398181,0.187666
0.318197,0.252932
-0.762073,-0.254571
0.098590,-0.077990
0.591739,0.256874
0.260968,0.258921
0.032105,0.145513
-0.971955,-0.413221
0.516506,0.051642
0.036852,0.044247
0.466006,0.255127
0.944806,0.599967
0.340109,0.470038
0.769713,0.619875
0.829859,0.724867
0.901671,0.813269
-0.010119,0.401575
-0.157067,0.122254
0.275651,0.198953
0.913260,0.556106
-0.595945,-0.019919
0.556843,0.268462
0.682800,0.475631
0.699235,0.587433
0.964217,0.775825
-0.083335,0.346245
0.466379,0.406312
-0.448729,-0.021209
0.944289,0.461540
-0.861508,-0.199984
0.663719,0.231867
0.342470,0.287169
0.456690,0.371929
0.901645,0.636787
-0.558939,0.038924
0.048429,0.043676
0.162613,0.103145
0.473165,0.288155
0.076473,0.182314
-0.320881,-0.069283
-0.489983,-0.279633
-0.457521,-0.368577
-0.376075,-0.372326
0.850126,0.238900
-0.687808,-0.224454
-0.546216,-0.385335
0.751797,0.183231
0.302073,0.242652
0.296717,0.269685
0.027448,0.148567
0.215333,0.181950
0.700773,0.441361
-0.415708,0.012826
-0.101867,-0.044520
0.400008,0.177744
-0.451492,-0.136874
0.814798,0.338962
-0.133613,0.102675
0.099779,0.101227
0.759087,0.430157
0.004879,0.217518
-0.236502,-0.009492
0.101557,0.046033
-0.538431,-0.246199
-0.334857,-0.290528
0.542618,0.126045
0.509997,0.318021
0.827756,0.572889
0.015783,0.294336
-0.413529,-0.059597
-0.493125,-0.276361
0.525801,0.124720
0.128950,0.126835
0.130801,0.128818
0.375927,0.252372
0.441142,0.346757
0.584585,0.465671
0.127724,0.296697
-0.256784,0.019957
